Store_ID,City,State,Store_Type
1,Saint Paul,Minnesota,4
2,Saint Paul,Minnesota,4
3,Saint Paul,Minnesota,4
4,Saint Paul,Minnesota,4
5,Oklahoma City,Oklahoma,4
6,Saint Paul,Minnesota,4
7,Saint Paul,Minnesota,4
8,Saint Paul,Minnesota,4
9,Saint Paul,Minnesota,2
10,Saint Paul,Minnesota,3
11,Minneapolis,Minnesota,2
12,Annapolis,Maryland,3
13,Annapolis,Maryland,3
14,Harrisburg,Pennsylvania,3
15,Nashville,Tennessee,3
16,Oklahoma City,Oklahoma,3
17,Saint Paul,Minnesota,3
18,Saint Paul,Minnesota,2
19,Boston,Massachusetts,3
20,Saint Paul,Minnesota,2
21,Oklahoma City,Oklahoma,2
22,LA,California,3
23,Phoenix,Arizona,4
24,Raleigh,North Carolina,4
25,Olympia,Washington,4
26,Raleigh,North Carolina,4
27,Charlotte,North Carolina,4
28,Raleigh,North Carolina,5
29,Raleigh,North Carolina,5
30,Raleigh,North Carolina,3
31,Indianapolis,Indiana,2
32,Raleigh,North Carolina,3
33,Bloomington,Indiana,3
34,Raleigh,North Carolina,2
35,Asheville,North Carolina,3
36,Wilmington,North Carolina,5
37,Atlanta,Georgia,4
38,Columbus,Ohio,4
39,Atlanta,Georgia,2
40,Richmond,Virginia,3
41,Richmond,Virginia,4
42,Atlanta,Georgia,4
43,Albany,New York,5
44,Saint Paul,Minnesota,1
45,Saint Paul,Minnesota,1
46,Saint Paul,Minnesota,1
47,Saint Paul,Minnesota,1
48,Saint Paul,Minnesota,1
49,Saint Paul,Minnesota,1
50,Phoenix,Arizona,1
51,Raleigh,North Carolina,1
52,Sacramento,California,1
53,Sacramento,California,4
54,LA,California,3
